ci_high,ci_low,cliffs_delta,cohens_d,mean,median,memory_tier,metric_name,n,p_ks,p_mann_whitney,scenario,std,suite
6.000000,6.000000,,,6.000000,6.000000,,dataset.generated,97,,,,0.000000,A
0.000000,0.000000,,,0.000000,0.000000,no-memory,suite_a.accuracy,97,,,baseline,0.000000,A
0.000000,0.000000,,,0.000000,0.000000,no-memory,suite_a.faithfulness,97,,,baseline,0.000000,A
1.000000,1.000000,,,1.000000,1.000000,no-memory,suite_a.drift,97,,,baseline,0.000000,A
36.000000,36.000000,,,36.000000,36.000000,no-memory,suite_a.questions,97,,,baseline,0.000000,A
1.000000,1.000000,,,1.000000,1.000000,no-memory,case.completed,97,,,baseline,0.000000,A
6.000000,6.000000,,,6.000000,6.000000,,dataset.generated,5,,,,0.000000,A
0.000000,0.000000,,,0.000000,0.000000,summary,suite_a.accuracy,5,,,adversarial,0.000000,A
0.000000,0.000000,,,0.000000,0.000000,summary,suite_a.faithfulness,5,,,adversarial,0.000000,A
1.000000,1.000000,,,1.000000,1.000000,summary,suite_a.drift,5,,,adversarial,0.000000,A
12.000000,12.000000,,,12.000000,12.000000,summary,suite_a.questions,5,,,adversarial,0.000000,A
1.000000,1.000000,,,1.000000,1.000000,summary,case.completed,5,,,adversarial,0.000000,A
1.000000,1.000000,,,1.000000,1.000000,hybrid,suite_a.accuracy,5,,,adversarial,0.000000,A
1.000000,1.000000,,,1.000000,1.000000,hybrid,suite_a.faithfulness,5,,,adversarial,0.000000,A
0.000000,0.000000,,,0.000000,0.000000,hybrid,suite_a.drift,5,,,adversarial,0.000000,A
12.000000,12.000000,,,12.000000,12.000000,hybrid,suite_a.questions,5,,,adversarial,0.000000,A
1.000000,1.000000,,,1.000000,1.000000,hybrid,case.completed,5,,,adversarial,0.000000,A
0.555556,0.555556,1.000000,7040151618286734.000000,0.555556,0.555556,summary,suite_a.accuracy,97,0.000000,0.000000,baseline,0.000000,A
0.555556,0.555556,1.000000,7040151618286734.000000,0.555556,0.555556,summary,suite_a.faithfulness,97,0.000000,0.000000,baseline,0.000000,A
0.444444,0.444444,-1.000000,-7040151618286734.000000,0.444444,0.444444,summary,suite_a.drift,97,0.000000,0.000000,baseline,0.000000,A
36.000000,36.000000,0.000000,0.000000,36.000000,36.000000,summary,suite_a.questions,97,1.000000,1.000000,baseline,0.000000,A
